REQUEST: 2024/11/23 12:50:29 Finished processing site https://www.eventbrite.com/d/nj--jersey-city/all-events/?page=2 [Status: 200, Length: 783562 bytes, Timestamp: 2024-11-23T12:50:29-05:00]
REQUEST: 2024/11/23 12:50:30 Requesting https://www.eventbrite.com/d/nj--jersey%20city/all-events/?page=3 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:30-05:00]
REQUEST: 2024/11/23 12:50:30 Requesting https://www.eventbrite.com/e/the-streetwear-expo-fashion-jewelry-and-more-tickets-1045419727547?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:30-05:00]
REQUEST: 2024/11/23 12:50:31 Finished processing site https://www.eventbrite.com/e/the-streetwear-expo-fashion-jewelry-and-more-tickets-1045419727547?aff=ebdssbdestsearch [Status: 200, Length: 159444 bytes, Timestamp: 2024-11-23T12:50:31-05:00]
REQUEST: 2024/11/23 12:50:31 Finished processing site https://www.eventbrite.com/d/nj--jersey-city/all-events/?page=3 [Status: 200, Length: 790165 bytes, Timestamp: 2024-11-23T12:50:31-05:00]
REQUEST: 2024/11/23 12:50:31 Requesting https://www.eventbrite.com/d/nj--jersey%20city/all-events/?page=4 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:31-05:00]
REQUEST: 2024/11/23 12:50:31 Requesting https://www.eventbrite.com/e/ghana-tech-summit-diaspora-edition-tickets-93464513877?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:31-05:00]
REQUEST: 2024/11/23 12:50:32 Finished processing site https://www.eventbrite.com/e/ghana-tech-summit-diaspora-edition-tickets-93464513877?aff=ebdssbdestsearch [Status: 200, Length: 173019 bytes, Timestamp: 2024-11-23T12:50:32-05:00]
REQUEST: 2024/11/23 12:50:33 Finished processing site https://www.eventbrite.com/d/nj--jersey-city/all-events/?page=4 [Status: 200, Length: 788418 bytes, Timestamp: 2024-11-23T12:50:33-05:00]
REQUEST: 2024/11/23 12:50:33 Requesting https://www.eventbrite.com/d/nj--paterson/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:33-05:00]
REQUEST: 2024/11/23 12:50:33 Requesting https://www.eventbrite.com/e/flag-fest-thanksgiving-eve-sobs-dancehall-soca-more-tickets-1032607626207?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:33-05:00]
REQUEST: 2024/11/23 12:50:34 Finished processing site https://www.eventbrite.com/d/nj--paterson/all-events/?page=1 [Status: 200, Length: 805032 bytes, Timestamp: 2024-11-23T12:50:34-05:00]
REQUEST: 2024/11/23 12:50:34 Requesting https://www.eventbrite.com/d/nj--paterson/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:34-05:00]
REQUEST: 2024/11/23 12:50:34 Finished processing site https://www.eventbrite.com/e/flag-fest-thanksgiving-eve-sobs-dancehall-soca-more-tickets-1032607626207?aff=ebdssbdestsearch [Status: 200, Length: 166168 bytes, Timestamp: 2024-11-23T12:50:34-05:00]
REQUEST: 2024/11/23 12:50:34 Requesting https://www.eventbrite.com/e/white-december-2024-all-white-gala-tickets-1051941263637?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:34-05:00]
REQUEST: 2024/11/23 12:50:35 Finished processing site https://www.eventbrite.com/d/nj--paterson/all-events/?page=2 [Status: 200, Length: 789378 bytes, Timestamp: 2024-11-23T12:50:35-05:00]
REQUEST: 2024/11/23 12:50:35 Requesting https://www.eventbrite.com/d/nj--paterson/all-events/?page=3 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:35-05:00]
REQUEST: 2024/11/23 12:50:35 Finished processing site https://www.eventbrite.com/e/white-december-2024-all-white-gala-tickets-1051941263637?aff=ebdssbdestsearch [Status: 200, Length: 169745 bytes, Timestamp: 2024-11-23T12:50:35-05:00]
REQUEST: 2024/11/23 12:50:36 Finished processing site https://www.eventbrite.com/d/nj--paterson/all-events/?page=3 [Status: 200, Length: 790903 bytes, Timestamp: 2024-11-23T12:50:36-05:00]
REQUEST: 2024/11/23 12:50:36 Requesting https://www.eventbrite.com/d/nj--paterson/all-events/?page=4 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:36-05:00]
REQUEST: 2024/11/23 12:50:38 Finished processing site https://www.eventbrite.com/d/nj--paterson/all-events/?page=4 [Status: 200, Length: 790309 bytes, Timestamp: 2024-11-23T12:50:38-05:00]
REQUEST: 2024/11/23 12:50:38 Requesting https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:38-05:00]
REQUEST: 2024/11/23 12:50:39 Finished processing site https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=1 [Status: 200, Length: 802461 bytes, Timestamp: 2024-11-23T12:50:39-05:00]
REQUEST: 2024/11/23 12:50:39 Requesting https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:39-05:00]
REQUEST: 2024/11/23 12:50:40 Finished processing site https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=2 [Status: 200, Length: 786923 bytes, Timestamp: 2024-11-23T12:50:40-05:00]
REQUEST: 2024/11/23 12:50:40 Requesting https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=3 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:40-05:00]
REQUEST: 2024/11/23 12:50:41 Finished processing site https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=3 [Status: 200, Length: 794299 bytes, Timestamp: 2024-11-23T12:50:41-05:00]
REQUEST: 2024/11/23 12:50:41 Requesting https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=4 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:41-05:00]
REQUEST: 2024/11/23 12:50:43 Finished processing site https://www.eventbrite.com/d/nj--elizabeth/all-events/?page=4 [Status: 200, Length: 786936 bytes, Timestamp: 2024-11-23T12:50:43-05:00]
